Sample,C,N,S,M,Normal
skin_cancer_m14_2,-0.371643210615628,0.0875219313901723,0.482492796078722,1.06092559249982,cancer
skin_cancer_uacc257_1,-0.77448025547902,0.135238896718007,0.0807037179275383,0.240558239404699,cancer
skin_cancer_uacc257_2,-0.61349335332174,0.0507883025178524,0.164338406895277,0.480477812638518,cancer
skin_cancer_sk_mel_28_1,0.282952062496434,0.104551900803188,-0.123492538482846,0.319028624623133,cancer
skin_cancer_sk_mel_28_6,-0.0234347954888353,0.299934174701311,-0.387135795690383,-0.0765461756049222,cancer
lung_cancer_ebc1_2,-0.144300432058185,0.380972968168544,-0.491324137672914,-0.975792680307181,cancer
lung_cancer_ebc1_3,-0.259033930262807,0.405595855887204,-0.605953373375405,-1.32687298607967,cancer
lung_cancer_h1975_2,-0.422608873031373,0.307521111234649,-0.903627294736707,-0.923853205362249,cancer
lung_cancer_h1975_3,-0.306608185628761,0.309338881615308,-1.11165588897883,-0.740893776644696,cancer
lung_cancer_h1395_1,0.375381270774893,-0.0319381147944697,-0.389073975025617,0.294970098921396,cancer
lung_cancer_h1395_2,-0.209944841096318,0.243294669331195,-0.712620051209266,-0.0995675105366987,cancer
lung_cancer_hcc44_1,-0.3111622457552,0.425721922351874,-1.12847362829918,-0.855636995689896,cancer
lung_cancer_hcc44_2,-0.25596441645449,0.367185185507395,-1.17597028643152,-0.762410293192051,cancer
lung_cancer_h23_1,0.0780078248586555,0.20323458571031,-1.0344938710073,-0.147791480411832,cancer
lung_cancer_h23_2,0.0752997515167522,0.305995146070247,-1.03897124183019,-0.329890273538248,cancer
lung_cancer_h358_1,-0.372056033865,0.214611502223813,-0.364132470673651,0.359906991704186,cancer
lung_cancer_h358_3,-0.337710078760199,0.0359297042765245,0.466076167404812,0.782181777125961,cancer
lung_cancer_a549_2,-0.202287984096508,0.177439932738603,-0.12979694524444,-0.39012850237153,cancer
lung_cancer_h460_1,-0.225413160100092,0.376528908014697,-1.36549578770132,-0.889760588174225,cancer
lung_cancer_h460_2,-0.0927904454320448,0.314842639532158,-1.01327141985004,-0.29179633589613,cancer
breast_normal_human_mammary_epithelial_cell_pellet_2,0.959584595761406,-0.658586358648067,0.381832050702867,0.454944994895586,normal
breast_cancer_t47d_1,-0.159209242365892,0.0833424664595155,0.00846538938118968,0.704580136311808,cancer
breast_cancer_mcf7_1,-0.714389885404327,0.451861446049187,-1.27993974333166,-1.55850413817862,cancer
breast_cancer_mcf7_3,-1.01697864518298,0.489998841434488,-1.3330973804838,-1.92032084027956,cancer
breast_cancer_mcf7_hormone_insensitive_1,0.785550346344005,0.212326175325712,-0.380853174966016,-1.10642133936936,cancer
breast_cancer_mcf7_hormone_insensitive_2,0.683997628443089,0.21903753703579,-0.431047280454011,-0.998838585571189,cancer
